file_name, possible_answer_1, possible_answer_2, incorrect_answer_1
0800.jpg, morning, night, afternoon
1020.jpg, morning, noon, afternoon
1105.jpg, morning, noon, afternoon
1125.jpg, morning, noon, afternoon
1130.jpg, morning, noon, afternoon
1150.jpg, morning, noon, afternoon
1215.jpg, noon, afternoon, morning
1225.jpg, noon, afternoon, morning
1226.jpg, noon, afternoon, morning
1245.jpg, afternoon, noon, morning
1246.jpg, afternoon, noon, morning
1250.jpg, afternoon, noon, morning
1400.jpg, afternoon, noon, morning
1415.jpg, afternoon, noon, morning
