file_name, possible_answer_1, possible_answer_2, incorrect_answer_1
1AM.png, night, evening, morning
2AM.png, night, evening, morning
3AM.png, night, evening, morning
4AM.png, night, morning, afternoon
5AM.png, morning, night, afternoon
6AM.png, morning, night, afternoon
7AM.png, morning, night, afternoon
8AM.png, morning, night, afternoon
8AM.png, morning, noon, afternoon
9AM.png, morning, noon, afternoon
10AM.png, morning, noon, afternoon
11AM.png, morning, noon, afternoon
12PM.png, noon, morning, afternoon
1PM.png, noon, afternoon, evening
2PM.png, afternoon, noon, morning
3PM.png, afternoon, noon, morning
4PM.png, afternoon, evening, morning
5PM.png, evening, afternoon, morning
6PM.png, evening, afternoon, morning
7PM.png, evening, afternoon, morning
8PM.png, night, evening, morning
9PM.png, night, evening, morning
10PM.png, night, evening, morning
11PM.png, night, evening, morning
