time, file_name, possible_answer_1, possible_answer_2, incorrect_answer_1
1AM, 1AM.png, night, evening, morning
2AM, 2AM.png, night, evening, morning
3AM, 3AM.png, night, evening, morning
4AM, 4AM.png, night, morning, afternoon
5AM, 5AM.png, morning, night, afternoon
6AM, 6AM.png, morning, night, afternoon
7AM, 7AM.png, morning, night, afternoon
8AM, 8AM.png, morning, night, afternoon
8AM, 8AM.png, morning, noon, afternoon
9AM, 9AM.png, morning, noon, afternoon
10AM, 10AM.png, morning, noon, afternoon
11AM, 11AM.png, morning, noon, afternoon
12PM, 12PM.png, noon, morning, afternoon
1PM, 1PM.png, noon, afternoon, evening
2PM, 2PM.png, afternoon, noon, morning
3PM, 3PM.png, afternoon, noon, morning
4PM, 4PM.png, afternoon, evening, morning
5PM, 5PM.png, evening, afternoon, morning
6PM, 6PM.png, evening, afternoon, morning
7PM, 7PM.png, evening, afternoon, morning
8PM, 8PM.png, night, evening, morning
9PM, 9PM.png, night, evening, morning
10PM, 10PM.png, night, evening, morning
11PM, 11PM.png, night, evening, morning
