file_name, answer_m, unit_m, answer_i, unit_i, answer_incorrect
room-1000m2-a.png, 1000, m2, 10764, ft2, 2000
room-1000m2-b.png, 1000, m2, 10764, ft2, 2000
room-1000m2-c.png, 1000, m2, 10764, ft2, 2000
room-500m2-a.png, 500, m2, 5382, ft2, 1000
room-500m2-b.png, 500, m2, 5382, ft2, 1000
room-500m2-c.png, 500, m2, 5382, ft2, 1000
room-200m2-a.png, 200, m2, 2153, ft2, 400
room-200m2-b.png, 200, m2, 2153, ft2, 400
room-200m2-c.png, 200, m2, 2153, ft2, 400
room-100m2-a.png, 100, m2, 1076, ft2, 200
room-100m2-b.png, 100, m2, 1076, ft2, 200
room-100m2-c.png, 100, m2, 1076, ft2, 200
room-50m2-a.png, 50, m2, 538, ft2, 100
room-50m2-b.png, 50, m2, 538, ft2, 100
room-50m2-c.png, 50, m2, 538, ft2, 100
room-30m2-a.png, 30, m2, 323, ft2, 60
room-30m2-b.png, 30, m2, 323, ft2, 60
room-30m2-c.png, 30, m2, 323, ft2, 60
room-10m2-a.png, 10, m2, 108, ft2, 20
room-10m2-b.png, 10, m2, 108, ft2, 20
room-10m2-c.png, 10, m2, 108, ft2, 20
room-5m2-a.png, 5, m2, 54, ft2, 10
room-5m2-b.png, 5, m2, 54, ft2, 10
room-5m2-c.png, 5, m2, 54, ft2, 10
