index,image_id,height_i,height_unit_i,height_m,height_unit_m,width_i,width_unit_i,width_m,width_unit_m,length_i,length_unit_i,length_m,length_unit_m,weight_i,weight_unit_i,weight_m,weight_unit_m,path,full_path
1,81v5eYYgDAL,1.57,inches,0.04,meters,9.65,inches,0.25,meters,11.0,inches,0.28,meters,2.33,pounds,1.06,kilograms,6b/6b6d6182.jpg,assets/abo_images/small/6b/6b6d6182.jpg
2,81anMgS65lL,1.0,inches,0.03,meters,64.0,inches,1.63,meters,86.0,inches,2.18,meters,3.64,pounds,1.65,kilograms,e5/e5722224.jpg,assets/abo_images/small/e5/e5722224.jpg
3,71VHQwEYbIL,35.75,inches,0.91,meters,25.25,inches,0.64,meters,25.0,inches,0.64,meters,34.83,pounds,15.8,kilograms,87/873f2c06.jpg,assets/abo_images/small/87/873f2c06.jpg
4,81k+OYfTruL,1.45,inches,0.04,meters,2.55,inches,0.06,meters,2.5,inches,0.06,meters,0.1875,pounds,0.09,kilograms,58/588a0648.jpg,assets/abo_images/small/58/588a0648.jpg
5,41SZWsouOxL,66.0,inches,1.68,meters,5.0,inches,0.13,meters,5.0,inches,0.13,meters,1.6,pounds,0.73,kilograms,af/af5534dc.jpg,assets/abo_images/small/af/af5534dc.jpg
6,71SeCDVTJtL,32.75,inches,0.83,meters,22.5,inches,0.57,meters,20.0,inches,0.51,meters,31.6,pounds,14.33,kilograms,37/3776c07c.jpg,assets/abo_images/small/37/3776c07c.jpg
7,31pqM2E3XhL,7.0,inches,0.18,meters,2.0,inches,0.05,meters,2.0,inches,0.05,meters,1.0,pounds,0.45,kilograms,00/00de0fb5.jpg,assets/abo_images/small/00/00de0fb5.jpg
8,61sQgbHGamL,0.96,inches,0.02,meters,0.96,inches,0.02,meters,8.9,inches,0.23,meters,5.64,pounds,2.56,kilograms,e6/e69f2e71.jpg,assets/abo_images/small/e6/e69f2e71.jpg
9,91eooupRzIL,3.346456693,inches,0.09,meters,1.18,inches,0.03,meters,9.448818898,inches,0.24,meters,0.119205298,pounds,0.05,kilograms,4c/4cb3e979.jpg,assets/abo_images/small/4c/4cb3e979.jpg
10,41YZdSq2qBL,15.35,inches,0.39,meters,15.75,inches,0.4,meters,15.75,inches,0.4,meters,9.9,pounds,4.49,kilograms,98/981466b0.jpg,assets/abo_images/small/98/981466b0.jpg
11,71WGCw03J5L,38.25,inches,0.97,meters,19.25,inches,0.49,meters,24.0,inches,0.61,meters,26.45,pounds,12.0,kilograms,d6/d6702eab.jpg,assets/abo_images/small/d6/d6702eab.jpg
12,81z0x3DolgL,39.37,inches,1.0,meters,22.05,inches,0.56,meters,21.26,inches,0.54,meters,16.5,pounds,7.48,kilograms,e7/e73ac52b.jpg,assets/abo_images/small/e7/e73ac52b.jpg
