,Scale ID,Scale,Dataset,Language,0,1,2,3,4,5,6,7
0,1,small-largeXX.rankings,wilkinson,EN,big,large,huge,enormous,gigantic,,,
1,1,small-largeXX.rankings,wilkinson,FR,grand,large,immense,énorme,gigantesque,,,
2,1,small-largeXX.rankings,wilkinson,EL,μεγάλος,ευρύς,τεράστιος,πελώριος,γιγάντιος,,,
3,1,small-largeXX.rankings,wilkinson,ES,grande,grandísimo,enorme,gigantesco,inmenso,,,
4,2,beautiful-uglyXX.rankings,wilkinson,EN,ugly,hideous,,,,,,
5,2,beautiful-uglyXX.rankings,wilkinson,FR,moche,hideux,,,,,,
6,2,beautiful-uglyXX.rankings,wilkinson,EL,άσχημος,φρικτός,,,,,,
7,2,beautiful-uglyXX.rankings,wilkinson,ES,feo,horrible,,,,,,
8,3,XXgood-bad.rankings,wilkinson,EN,good,great,wonderful,awesome,,,,
9,3,XXgood-bad.rankings,wilkinson,FR,bon,génial,merveilleux,impressionnant,,,,
10,3,XXgood-bad.rankings,wilkinson,EL,καλός,σπουδαίος,υπέροχος,καταπληκτικός,,,,
11,3,XXgood-bad.rankings,wilkinson,ES,bueno,genial,fantástico,impresionante,,,,
12,4,few-manyXX.rankings,wilkinson,EN,few,some,several,many,,,,
13,4,few-manyXX.rankings,wilkinson,FR,quelques-uns,certains,nombreux,beaucoup de,,,,
14,4,few-manyXX.rankings,wilkinson,EL,λίγοι,κάποιοι,μερικοί,πολλοί,,,,
15,4,few-manyXX.rankings,wilkinson,ES,pocos,algunos,varios,muchos,,,,
16,5,XXbright-dark.rankings,wilkinson,EN,light,bright,,,,,,
17,5,XXbright-dark.rankings,wilkinson,FR,lumineux,brillant,,,,,,
18,5,XXbright-dark.rankings,wilkinson,EL,φωτεινός,λαμπερός ,,,,,,
19,5,XXbright-dark.rankings,wilkinson,ES,luminoso,brillante,,,,,,
20,6,smart-stupidXX.rankings,wilkinson,EN,dumb,stupid,idiotic,,,,,
21,6,smart-stupidXX.rankings,wilkinson,FR,idiot,stupide,bête,,,,,
22,6,smart-stupidXX.rankings,wilkinson,EL,ηλίθιος,χαζός,βλακώδης,,,,,
23,6,smart-stupidXX.rankings,wilkinson,ES,tonto,estúpido,idiota,,,,,
24,7,XXhot-cold.rankings,wilkinson,EN,warm,hot,,,,,,
25,7,XXhot-cold.rankings,wilkinson,FR,chaleureux,chaud,,,,,,
26,7,XXhot-cold.rankings,wilkinson,EL,θερμός,ζεστός,,,,,,
27,7,XXhot-cold.rankings,wilkinson,ES,tibio,caliente,,,,,,
28,8,XXsmall-large.rankings,wilkinson,EN,small,tiny,miniscule,,,,,
29,8,XXsmall-large.rankings,wilkinson,FR,petit,infime,minuscule,,,,,
30,8,XXsmall-large.rankings,wilkinson,EL,μικρός,μικρούλης,μικροσκοπικός,,,,,
