id,country.name,country.id,region.id,type,imageRelPath,topics,place,income
5d4be6cecf0b3a0f3f344586,Burundi,bi,af,image,assets/5d4be6cecf0b3a0f3f344586/5d4be6cecf0b3a0f3f344586.jpg,icons,butoyi,26.99458113
5d4bf31ccf0b3a0f3f359814,Burundi,bi,af,image,assets/5d4bf31ccf0b3a0f3f359814/5d4bf31ccf0b3a0f3f359814.jpg,Family snapshots,butoyi,26.99458113
5d4bf31ccf0b3a0f3f35982a,Burundi,bi,af,image,assets/5d4bf31ccf0b3a0f3f35982a/5d4bf31ccf0b3a0f3f35982a.jpg,Cutlery,butoyi,26.99458113
5d4bf31ccf0b3a0f3f35982e,Burundi,bi,af,image,assets/5d4bf31ccf0b3a0f3f35982e/5d4bf31ccf0b3a0f3f35982e.jpg,Family,butoyi,26.99458113
5d4bf31ccf0b3a0f3f359830,Burundi,bi,af,image,assets/5d4bf31ccf0b3a0f3f359830/5d4bf31ccf0b3a0f3f359830.jpg,Place where eating dinner,butoyi,26.99458113
5d4bf31dcf0b3a0f3f35983c,Burundi,bi,af,image,assets/5d4bf31dcf0b3a0f3f35983c/5d4bf31dcf0b3a0f3f35983c.jpg,Plate of food,butoyi,26.99458113
5d4bf31dcf0b3a0f3f35983e,Burundi,bi,af,image,assets/5d4bf31dcf0b3a0f3f35983e/5d4bf31dcf0b3a0f3f35983e.jpg,Table with food,butoyi,26.99458113
5d4bf320cf0b3a0f3f35988a,Burundi,bi,af,image,assets/5d4bf320cf0b3a0f3f35988a/5d4bf320cf0b3a0f3f35988a.jpg,Get water,butoyi,26.99458113
5d4bf320cf0b3a0f3f35988e,Burundi,bi,af,image,assets/5d4bf320cf0b3a0f3f35988e/5d4bf320cf0b3a0f3f35988e.jpg,Stove/hob,butoyi,26.99458113
5d4bf320cf0b3a0f3f359890,Burundi,bi,af,image,assets/5d4bf320cf0b3a0f3f359890/5d4bf320cf0b3a0f3f359890.jpg,Light source in kitchen,butoyi,26.99458113
5d4bf321cf0b3a0f3f3598a0,Burundi,bi,af,image,assets/5d4bf321cf0b3a0f3f3598a0/5d4bf321cf0b3a0f3f3598a0.jpg,Drinking water,butoyi,26.99458113
5d4bf321cf0b3a0f3f3598a2,Burundi,bi,af,image,assets/5d4bf321cf0b3a0f3f3598a2/5d4bf321cf0b3a0f3f3598a2.jpg,Kitchen sink,butoyi,26.99458113
5d4bf321cf0b3a0f3f3598a4,Burundi,bi,af,image,assets/5d4bf321cf0b3a0f3f3598a4/5d4bf321cf0b3a0f3f3598a4.jpg,Bathroom Privacy,butoyi,26.99458113
